Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
6,Control block 4,6.4,50793,514,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.43715303244401615,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50794,514,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.6715436889599995,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50795,514,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.144045488477035,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50796,515,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.3709951717709339,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50797,515,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.7988511319595253,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50798,515,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.211825145785221,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50799,515,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.42761336920942,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50800,515,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.877792249056138,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50801,516,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.1159033921425268,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50802,516,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.5995666515333262,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50803,516,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.84139828126733,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50804,516,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.07578893770204,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50805,516,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.5557317105224335,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50806,517,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.80500431339725,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50807,517,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.340754385338577,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50808,517,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.913709323382201,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50809,517,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.211348252237139,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,50810,517,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.5346022626452569,prerecorded,open_loop_prerecorded
